name,transcription
1 /Company/20260220 161809.wav,यो सामान प्रयोग गर्ने तरिका यस प्रकार छ
1 /Company/20260220 161816.wav,एज अ म्यानेजिङ डिरेक्टर सर आउनुभएको छैन
1 /Company/20260220 161823.wav,हाम्रो वार्षिक साधारण सभा अर्को महिना छ
1 /Company/20260220 161832.wav,हजुरको पार्सल बाटोमै छ
1 /Company/20260220 162240.wav,हामी वातावरण मैत्री उत्पादनौ
1 /Company/20260220 162311.wav,कुनै प्रश्न भए निसंकोच सोध्नुहोस्
1 /Company/20260220 162319.wav,हजुरको पुरानो सामान साटेर नयाँ लिन मिल्छ
1 /Company/20260220 162328.wav,यो सेवाको लागि अतिरिक्त शुल्क लाग्छ
1 /Company/20260220 162335.wav,कृपया जुत्ता बाहिरै राख्नुहोला
1 /Company/20260220 162343.wav,हामी अनलाइन सेवा पनि दिन्छौँ
1 /Company/20260220 162350.wav,हजुर नियमित ग्राहक भएकोले छुट दिन्छौँ
1 /Company/20260220 162405.wav,यो सम्झौता पत्र अग्रिमेन्टमा हस्ताक्षर गर्नुहोस्
1 /Company/20260220 162425.wav,धन्यवाद फेरि सेवा गर्ने मौका दिनुहोला
1 /Company/20260220 162431.wav,हजुरको दिन शुभ रहोस्
1 /Consultacy/20260220 155744.wav,नमस्कार तपाईँ कुन देश जान चाहनुहुन्छ
1 /Consultacy/20260220 155804.wav,के तपाईँले आयल्स गर्नुभएको छ
1 /Consultacy/20260220 155811.wav,अस्ट्रेलियाको लागि शैक्षिक योग्यता कति छ
1 /Consultacy/20260220 155917.wav,नि शुल्क परामर्श काउन्सिलिङका लागि आउनुहोस्
1 /Consultacy/20260220 155927.wav,भिसाको प्रक्रिया सुरु गर्न डक्युमेन्ट ल्याउनुहोस्
1 /Consultacy/20260220 155945.wav,क्यानाडाको लागि अहिले राम्रो अवसर छ
1 /Consultacy/20260220 155952.wav,हजुरको ग्याप कति वर्षको छ
1 /Consultacy/20260220 155958.wav,अफर लेटर आउन दुई हप्ता लाग्न सक्छ
1 /Consultacy/20260220 160004.wav,ब्याङ्क ब्यालेन्स प्रमाणपत्र देखाउनुपर्छ
1 /Consultacy/20260220 160014.wav,हजुरको अङ्ग्रेजी भाषाको स्तर कस्तो छ
1 /Consultacy/20260220 160020.wav,पिटिई को कक्षा बिहान सात बजे हुन्छ
1 /Consultacy/20260220 160027.wav,स्कलरसिपको लागि कम्तीमा तीन पोइन्ट पाँच जिपिए चाहिन्छ
1 /Consultacy/20260220 160035.wav,जापान जानको लागि भाषा पढ्नुपर्छ
1 /Consultacy/20260220 160040.wav,अन्तवार्ता इन्टरभ्यूको तयारी गराउँछौँ
1 /Consultacy/20260220 160048.wav,भिसा रिजेक्ट भएको कारण के हो
1 /Consultacy/20260220 160055.wav,यो युनिभर्सिटीको याङ्किङ धेरै राम्रो छ
1 /Consultacy/20260220 160102.wav,मेडिकल टेस्टको लागि यो अस्पताल जानुहोस्
1 /Consultacy/20260220 160110.wav,हवाई टिकटको व्यवस्था हामी गरिदिन्छौँ
1 /Consultacy/20260220 160134.wav,विशेषमा काम गर्न र पढ्न दुवै पाइन्छ
1 /Consultacy/20260220 160141.wav,हजुरको अभिभावकको आम्दानी स्रोत देखाउनुपर्र्छ
1 /Consultacy/20260220 160148.wav,डिपेन्डेन्ट भिसाको लागि पनि हुन्छ
1 /Consultacy/20260220 160154.wav,प्रोसेसिङ चार्ज कति लाग्छ
1 /Consultacy/20260220 160201.wav,कृपया आफ्नो सक्कल कागजात सुरक्षित राख्नुहोला
1 /Consultacy/20260220 160208.wav,अमेरिकाको लागि एपोइन्टमेन्ट पाउन गाह्रो छ
1 /Consultacy/20260220 160216.wav,एसओपी लेख्न हामी सिकाउँछौँ
1 /Consultacy/20260220 160223.wav,हजुरको पासपोर्टको म्याद कति बाँकी छ
1 /Consultacy/20260220 160230.wav,अहिलेको इन्टेक बन्द भइसक्यो
1 /Consultacy/20260220 160236.wav,युरोपको लागि शुल्क अलि सस्तो पर्छ
1 /Consultacy/20260220 160243.wav,हजुरको शैक्षिक ऋण स्वीकृत भयो
1 /Consultacy/20260220 160251.wav,हामी आधिकारिक एजेन्ट हौँ ढुक्क हुनुहोस्
1 /Consultacy/20260220 160300.wav,भिसा नलगेमा पैसा फिर्ता हुन्छ कि हुँदैन
1 /Consultacy/20260220 160307.wav,कृपया फारममा सबै विवरण सही भर्नुहोला
1 /Consultacy/20260220 160314.wav,हजुरको इमेल बारम्बार चेक गर्नुहोला
1 /Consultacy/20260220 160328.wav,बायोमेट्रिक दिन जानुपर्ने हुन्छ
1 /Consultacy/20260220 160335.wav,विदेश गएपछि पनि हामी सम्पर्कमा रहन्छौं
1 /Consultacy/20260220 160343.wav,प्रिडिपार्चर सेसनमा आउनुहोला
1 /Consultacy/20260220 160351.wav,त्यहाँको मौसम र संस्कृतिबारे जान्नुपर्छ
1 /Consultacy/20260220 160402.wav,हजुरको साथीले पनि यहाँबाटै भिसा पाउनुभयो
1 /Consultacy/20260220 160410.wav,यो कलेजमा नेपाली विद्यार्थीहरू पनि छन्
1 /Consultacy/20260220 160417.wav,हजुरको सिधै भर्ना डिरेक्ट एन्ट्री हुन्छ
1 /Consultacy/20260220 160425.wav,वर्क पर्मिटको बारेमा बुझ्नुभयो
1 /Consultacy/20260220 160432.wav,हजुरको अनुभव पत्र एक्सपिरियन्स लेटर चाहिन्छ
1 /Consultacy/20260220 160439.wav,दुईवटा रेफरेन्स लेटर लिएर आउनुहोस्
1 /Consultacy/20260220 160454.wav,हजुरको सपना पूरा गर्न हामी मद्दत गर्छौँं
1 /Consultacy/20260220 160505.wav,कुनै दुविधा भए फोन गर्न सक्नुहुन्छ
1 /Consultacy/20260220 160511.wav,कन्सल्टेन्सी शनिबार पनि खोल्छ
1 /Consultacy/20260220 160529.wav,हजुरको फाइल आजै दूतावासमा पठाउँछौँ
1 /Consultacy/20260220 160536.wav,यो कोर्सको भविष्य धेरै राम्रो छ
1 /Consultacy/20260220 160542.wav,धन्यवाद प्रक्रिया सुरु गरौँ
1 /Consultacy/20260220 160602.wav,हजुरको यात्रा सफल रहोस्
1 /Consultacy/New Recording 167.wav,निशुल्क पश प कासलि
1 /GOVERNMENT/20260220 163425.wav,नमस्कार सरकारी सेवामा स्वागत छ
1 /GOVERNMENT/20260220 163433.wav,निवेदन दर्ता रेजिस्टर गर्न कोठा नम्बर चारमा जानुहोस्
1 /GOVERNMENT/20260220 163441.wav,दस रुपैयाँको हुलाक टिकट टास्नुपर्छ
1 /GOVERNMENT/20260220 163450.wav,हाकिमसाब फिल्डमा जानुभएको छ
1 /GOVERNMENT/20260220 163456.wav,नागरिकताको प्रतिलिपि लिएर आउनुहोस्
1 /GOVERNMENT/20260220 163503.wav,सिफारिस पत्र वडा कार्यालयबाट ल्याउनुपर्र्छ
1 /GOVERNMENT/20260220 163510.wav,लाइनमा पालो मिच्न पाइँदैन
1 /GOVERNMENT/20260220 163516.wav,आज सर्भर चलेको छैन भोलि आउनुहोला
1 /GOVERNMENT/20260220 163522.wav,टोकन लिएर मात्र भित्र पस्नुहोस्
1 /GOVERNMENT/20260220 163528.wav,हजुरको कामको फाइल माथि गएको छ
1 /GOVERNMENT/20260220 163538.wav,राजस्व ट्याक्स बैं्कमा बुझाएर भााउचर ल्याउनुहोस्
1 /GOVERNMENT/20260220 163546.wav,फोटो र औठाथाापको लागि तयारी रहनुहोस्
1 /GOVERNMENT/20260220 163602.wav,राहदानी पासपोर्ट लिन आफै उपस्थित हुनुपर्छ
1 /GOVERNMENT/20260220 163611.wav,राष्ट्रिय परिचय पत्रको विवरण गर्नुभयो
1 /GOVERNMENT/20260220 163622.wav,सूचना अधिकारीसँग सोधपूछ गर्न सक्नुहुन्छ
1 /GOVERNMENT/20260220 163630.wav,यो फारममा साक्षीको हस्ताक्षर चाहिन्छ
1 /GOVERNMENT/20260220 163639.wav,कार्यालय समय दसदेखि चार बजेसम्म हो
1 /GOVERNMENT/20260220 163645.wav,जग्गापास गर्न मालापोत जानुपर्छ
1 /GOVERNMENT/20260220 163707.wav,गुनासो पेटिकामा आफ्नो सुझाव राख्नुहोस्
1 /GOVERNMENT/20260220 163715.wav,सेवाग्राहीको भिड धेरै छ धैले्य गर्नुहोला
1 /GOVERNMENT/20260220 163723.wav,हजुरको कागजात अपुरो छ
1 /GOVERNMENT/20260220 163730.wav,पुरानो रेकर्ड फिटन भेरिफाई समय लाग्छ
1 /GOVERNMENT/20260220 163824.wav,वारेसनामा मार्फत काम गर्न मिल्छ
1 /GOVERNMENT/20260220 163830.wav,ज्येष्ठ नागरिकको लागि छुट्टै लाइन छ
1 /GOVERNMENT/20260220 163837.wav,विवाह दर्ता पैँतिस दिनभित्र गरिसक्नुपर्छ
1 /GOVERNMENT/20260220 163846.wav,नक्सापासको प्रक्रिया सुरु भयो
1 /GOVERNMENT/20260220 163853.wav,सवारी चालक अनुमतिपत्र प्रिन्ट भएको छैन
1 /GOVERNMENT/20260220 163902.wav,कृपया बिचौलिया मिडलम्यानको भर नपर्र्नुहोस्
1 /GOVERNMENT/20260220 163910.wav,सेवा निशुल्क हो पैसा लाग्दैन
1 /GOVERNMENT/20260220 163915.wav,प्यान नम्बर लिनु अनिवार्य छ
1 /GOVERNMENT/20260220 163921.wav,कम्प्युटर अधिकृतले रुजु गर्नुपर्छ
1 /GOVERNMENT/20260220 163932.wav,आज शुक्रबार तीन बजेसम्म मात्र काम हुन्छ
1 /GOVERNMENT/20260220 163939.wav,हजुरको निवेदन स्वीकृत भयो
1 /GOVERNMENT/20260220 163946.wav,बसाइसराईको पत्र ल्याउनुभएको छ
1 /GOVERNMENT/20260220 163953.wav,नागरिक वडापत्र सिटिजन चार्टर पढ्नुहोला
1 /GOVERNMENT/20260220 164001.wav,यो कामको अधिकारक्षषेत्र यहाँ पर्दैन
1 /GOVERNMENT/20260220 164007.wav,कृपया शान्ति सुरक्षा कायम राख्नुहोस्
1 /GOVERNMENT/20260220 164014.wav,नवीकरण गर्दा म्याद नागेकाले चरिवाना लाग्छ
1 /GOVERNMENT/20260220 164022.wav,हजुरको पालो स्क्रिनमा देखाइन्छ
1 /GOVERNMENT/20260220 164028.wav,खानेपानीको महसुल यहाँ बुझाउन मिल्दैन
1 /GOVERNMENT/20260220 164035.wav,यो योजना नगरपालिकाबाट पास भएको हो
1 /GOVERNMENT/20260220 164042.wav,सम्बन्धित भाटवाला कर्मचारी विदामा हुनुहुन्छ
1 /GOVERNMENT/20260220 164050.wav,सही छाप सिग्नेचर थम्प्रिन्ट राम्रोसँग लगाउनुहोस्
1 /GOVERNMENT/20260220 164057.wav,मचुला उठाउन प्रहरी आउँछ
1 /GOVERNMENT/20260220 164104.wav,पेन्सन पट्टा बनाउन यहाँ आउनुहोस्
1 /GOVERNMENT/20260220 164111.wav,यो सरकारी सम्पत्ति हो फोहोर नगर्नुहोस्
1 /GOVERNMENT/20260220 164117.wav,काम सम्पन्न भयो रसद लिनुहोला
1 /GOVERNMENT/20260220 164123.wav,हजुरको सहयोगको लागि धन्यवाद
1 /GOVERNMENT/20260220 164129.wav,राष्ट्रसेवा हाम्रो धर्म हो जय नेपाल
1 /IT support/20260220 162624.wav,नमस्कार आइटी सपोर्टमा स्वागत छ
1 /IT support/20260220 162632.wav,हजुरको कम्प्युटरमा के समस्या आयो
1 /IT support/20260220 162638.wav,इन्टरनेट चलेन भने राउटर रिस्टार्ट गर्नुहोस्
1 /IT support/20260220 162645.wav,सर्भर डाउन भएकोले केही समय लाग्छ
1 /IT support/20260220 162650.wav,हजुरको टिकट नम्बर एक दुई तिन चार हो
1 /IT support/20260220 162658.wav,सफ्टवेयर अपडेट गर्नुपर्ने देखिन्छ
1 /IT support/20260220 162711.wav,भाइरस स्क्यान गर्दैछु एकछिन पर्खनुहोस्
1 /IT support/20260220 162724.wav,पासवर्ड बिर्सिनु भयो भने रिसेट लिङ्क पठाउँछु
1 /IT support/20260220 162731.wav,यो फिचर नयाँ भर्जनमा मात्र उपलब्ध छ
1 /IT support/20260220 162739.wav,कृपया एनी डस्क आइडी दिनुहोस्
1 /IT support/20260220 162746.wav,डेटा ब्याकअप लिन नबिर्सिनुहोला
1 /IT support/20260220 162757.wav,हजुरको इमेल कन्फिगर गरिदिन्छु
1 /IT support/20260220 162803.wav,प्रिन्टर कनेक्ट भएको छैनजस्तो छ
1 /IT support/20260220 162813.wav,यो वेबसाइट खुल्न समय लागिरहेको छ
1 /IT support/20260220 162821.wav,स्क्रिनसट पठाउन सक्नुहुन्छ
1 /IT support/20260220 162827.wav,हर्टस क्रास भएको हुनसक्छ
1 /IT support/20260220 162835.wav,लाइसेन्स के एक्सपायर भएछ
1 /IT support/20260220 162848.wav,नेटवर्कको तार लुज भएको चेक गर्नुहोस्
1 /IT support/20260220 162858.wav,यो एप इन्स्टल गर्न स्पेस पुगेन
1 /IT support/20260220 162906.wav,हामी चौबिस घण्टा सपोर्ट दिन्छौँ
1 /IT support/20260220 162915.wav,सिस्टम मेन्टेनेन्सको काम भइरहेको छ
1 /IT support/20260220 162922.wav,फायरवालले ब्लक गरेको हुनसक्छ
1 /IT support/20260220 162932.wav,ल्यापटप धेरै तातियो भने फ्यान सफा गर्नुपर्छ
1 /IT support/20260220 162939.wav,यो फाइल करप्ट भएछ
1 /IT support/20260220 162945.wav,रिमोट एक्सेस दिँदै हुनुहुन्छ
1 /IT support/20260220 162952.wav,हजुरको समस्या समाधान भएकि भएन
1 /IT support/20260220 162958.wav,कृपया एकपटक लगआउट गरेर लगइन गर्नुहोस्
1 /IT support/20260220 163007.wav,यो एरर मेसेज कहिलेदेखि आयो
1 /IT support/20260220 163012.wav,मोबाइल एप अपडेट गर्नुहोला
1 /IT support/20260220 163022.wav,डोमेन र होस्टिङको म्याद सकिन लाग्यो
1 /IT support/20260220 163029.wav,डेटा रिकभरी गर्न गाह्रो हुनसक्छ
1 /IT support/20260220 163038.wav,यो बग हामी डेभलपरलाई पठाउँछौँ
1 /IT support/20260220 163047.wav,जुम मिटिङको लिङ्क काम गरेन
1 /IT support/20260220 163054.wav,सेक्युरिटीको लागि टुएफए अन गर्नुहोला
1 /IT support/20260220 163102.wav,हाम्रो टिमले हेर्दैछ नआत्तिनुहोस्
1 /IT support/20260220 163111.wav,विन्डोज अपडेट पेन्डिङमा छ
1 /IT support/20260220 163118.wav,केवल परिवर्तन गरेर हेँर्नुभयो
1 /IT support/20260220 163125.wav,यो डिभाइस कम्प्याटेबल छैन
1 /IT support/20260220 163132.wav,हजुरको इन्टरनेट स्पिड स्लो छ
1 /IT support/20260220 163139.wav,डेटा सुरक्षित राख्नु हाम्रो जिम्मेवारी हो
1 /IT support/20260220 163147.wav,यो फिचर कस्टमाइज गर्न मिल्छ
1 /IT support/20260220 163154.wav,युजर म्यानुअल पढ्नुभयो
1 /IT support/20260220 163200.wav,आइपिएड्रेस कन्फ्लिक्ट भएछ
1 /IT support/20260220 163208.wav,सिस्टम रिस्टोर गर्नुपर्ने हुन्छ
1 /IT support/20260220 163216.wav,माउस र केबलले काम गरेन
1 /IT support/20260220 163222.wav,हामी क्लाउड सर्भिस पनि दिन्छौँ
1 /IT support/20260220 163228.wav,अर्को ब्राउजरमा खोलेर हेर्नुहोस् त
1 /IT support/20260220 163234.wav,समस्या समाधान भयो धन्यवाद
1 /IT support/20260220 163240.wav,अरू केही समस्या भए भन्नुहोला
1 /IT support/20260220 163246.wav,प्रविधिको प्रयोगमा सावधानी अपनाउनुहोस्
1 /bank/20260220 143113.wav,हजुर म तपाईँलाई कसरी सहयोग गर्न सक्छु
1 /bank/20260220 143137.wav,खाता खोल्नका लागि कृपया यो फारम भर्नुहोस्
1 /bank/20260220 143154.wav,हजुरको परिचय पत्र नागरिकताको फोटोकपी साथमा छ
1 /bank/20260220 143206.wav,नगद जम्मा गर्न कृपया भाउचर भर्नुहोस्
1 /bank/20260220 143223.wav,हजुरको चेक साट्न कृपया दुई नम्बर काउन्टरमा जानुहोला
1 /bank/20260220 143233.wav,के हजुरले डिजिटल ब्याङ्किङ सेवा लिनुभएको छ
1 /bank/20260220 143241.wav,एटिएम कार्ड लिनका लागि नागरिकता देखाउनुपर्र्ने हुन्छ
1 /bank/20260220 143251.wav,हजुरको हस्ताक्षर मिलेन कृपया पुनः प्रयास गर्नुहोस्
1 /bank/20260220 143321.wav,मुद्धती खाता फिक्स्ड डिपोजिटको ब्याज दर अहिले दस प्रतिशत छ
1 /bank/20260220 143354.wav,ऋण शाखाका लागि कृपया माथिल्लो तलामा जानुहोस्
1 /bank/20260220 143403.wav,हजुरको मोबाइल बैङ्किङको पासवर्ड रिसेट गरिदिउला
1 /bank/20260220 143412.wav,कृपया लाइनमा बस्नुभई सहयोग गरिदिनुहोस्
1 /bank/20260220 143419.wav,हजुरको खाता आजै सक्रिय हुनेछ
1 /bank/20260220 143427.wav,केवाइसी अपडेट गर्नका लागि हालसालै खिचेको फोटो चाहिन्छ
1 /bank/20260220 143435.wav,हजुरको खातामा पर्याप्त मौजदात ब्यालेन्स छैन दात मौजदा पर्याप्त मौजदात
1 /bank/20260220 143456.wav,चेक क्लियरिङ हुन दुई दिन लाग्नेछ
1 /bank/20260220 143505.wav,स्टेटमेन्ट प्रिन्ट गर्न कति समयको विवरण चाहिन्छ
1 /bank/20260220 143526.wav,हजुरको गुनासो हामीले टिप्यौँ छिटै समाधान गर्नेछौँ
1 /bank/20260220 143546.wav,विदेशी मुद्रा साट्नका लागि पासपोर्ट अनिवार्य छ
1 /bank/20260220 143555.wav,लकर सुविधाको लागि म्यानेजर सरसँग कुरा गर्नुहोस्
1 /bank/20260220 143617.wav,हजुरको खाता नम्बर एकपटक रुजु गर्नुहोला
1 /bank/20260220 143624.wav,कृपया यहाँ औँठा छाप लगाउनुहोस्
1 /bank/20260220 143638.wav,नयाँ चेकबुकको लागि निवेदन दिनुपर्छ
1 /bank/20260220 143645.wav,हजुरको पैसा सुरक्षित रूपमा ट्रान्सफर भयो
1 /bank/20260220 143653.wav,के हजुरलाई क्रेडिट कार्डको बारेमा जानकारी चाहिएको हो
1 /bank/20260220 143702.wav,वृतभत्ता लिन आउनुभएको हो कृपया यहाँ बस्नुहोस्
1 /bank/20260220 143711.wav,इन्टरनेट बैङ्किङ प्रयोग गर्न धेरै सजिलो छ
1 /bank/20260220 143719.wav,यो अफर सीमित अवधिको लागि मात्र हो
1 /bank/20260220 143727.wav,हजुरको कारोबारको मेसेज मोबाइलमा आयो सेट मोबाइलमा
1 /bank/20260220 143744.wav,कृपया शान्त भई पालो पर्खिनुहोस्
1 /bank/20260220 143753.wav,पाँच लाख भन्दा माथिको कारोबारमा स्रोत खुलाउनु पर्छ
1 /bank/20260220 143803.wav,हजुरको एटिएम पिनकोड कप्य राख्नुहोला
1 /bank/20260220 143812.wav,आज सिस्टम अलि ढिलो चलिरहेको छ माफ गर्नुहोला
1 /bank/20260220 143820.wav,बैङ्किङ समय तीन बजेसम्म मात्रै हो
1 /bank/20260220 143838.wav,हजुरको समस्या बुझे म सम्बन्धित शाखामा कुरा गर्छु
1 /bank/20260220 143847.wav,के हजुरले टिम्याट खाता खोल्नु भएकोएको छ
1 /bank/20260220 143853.wav,बिदाको दिनमा पनि हाम्रो डिजिटल सेवा चालु रहन्छ
1 /bank/20260220 143903.wav,शैक्षिक कर्जाको लागि प्रक्रिया अलि लामो हुन सक्छ
1 /bank/20260220 143911.wav,हजुरको पुरानो कार्ड म्याद सकिएको छ नयाँ बनाउनुपर्र्छ
1 /bank/20260220 143922.wav,रकम गनेर मात्र काउन्टर छोड्नुहोला
1 /bank/20260220 143935.wav,सुन कर्जाको लागि भ्यालुएटर आउँदै हुनुहुन्छ भरर
1 /bank/20260220 143953.wav,संयुक्त खाता खोल्न दुवैजना उपस्थित हुनुपर्छ
1 /bank/20260220 144000.wav,हजुरलाई चिया वा पानी केही ल्याउ
1 /bank/20260220 144007.wav,कृपया मास्क लगाएर मात्र प्रवेश गर्नुहोला
1 /bank/20260220 144014.wav,यो मेसिनबाट आफै पैसा जमा गर्न सकिन्छ
1 /bank/20260220 144023.wav,बैंकको नियमअनुसार यो काम गर्न मिल्दैन
1 /bank/20260220 144030.wav,हजुरको सुझावको लागि धन्यवाद
1 /bank/20260220 144038.wav,फेरि सेवा गर्न मौका दिनुहोला नमस्कार
1 /bank/20260220 144052.wav,शुभदन हजुरको दिन राम्रो रहोस्
1 /bank/50.wav,शुभदन हजुरको दिन राम्रो रहोस्
1 /college/20260220 152348.wav,बिबिएको कक्षा बिहान छ बजे सुरु हुन्छ
1 /college/20260220 152356.wav,सेमेस्टरको शुल्क किस्ताबन्दीमा तर्छ तर्छ
1 /college/20260220 152413.wav,लाइब्रेरी कार्ड हराएमा जरिवना लाग्छ
1 /college/20260220 152419.wav,प्रयोगगात्मक परीक्षा प्र्याक्टिकल एक्जामको तालिका आयो प्रत्मक
1 /college/20260220 152438.wav,कलेजको वाइफाई पासवर्ड विद्यार्थी शाखामा सोध्नुहोस्
1 /college/20260220 152446.wav,हजुरको असाइन्मेन्ट बुझाउने अन्म मितिझाउम
1 /college/20260220 152500.wav,कलेज ड्रेस बिना कक्षामा बस्न पाइँदैन
1 /college/20260220 152508.wav,छात्रवृत्तिको नतिजा प्रकाशित भयो
1 /college/20260220 152514.wav,ट्रान्सक्रिप्ट लिनु युनिभर्सिटी जानुपर्छ युनिभर्सिटी जानुपर्छ
1 /college/20260220 152534.wav,आजको कक्षा रद्द भएको छ
1 /college/20260220 152541.wav,परिचय पत्र नवीकरण गर्नुपर्ने भएछ
1 /college/20260220 152551.wav,कलेज क्यान्टिनमा स्वास्थ्यवर्धक खाना पाइ स्
1 /college/20260220 152609.wav,प्रोजेक्टवर्कको लागि समूह बनाउनुहोस्
1 /college/20260220 152616.wav,यो विषयको कक्षा कोठा नम्बर तीन सय दुईमा हुन्छ
1 /college/20260220 152622.wav,कोअर्डिनेटर सरसँग भेट्न
1 /college/20260220 152637.wav,आन्तरिक परीक्षा इन्टर्नल इक्जाम अनिवार्य छ
1 /college/20260220 152647.wav,कलेज बस चढ्न पास देखाउनुहोला
1 /college/20260220 152700.wav,शैक्षिक भ्रमण टुरका लागि नाम दर्ता गराउनुहोस्
1 /college/20260220 152706.wav,ल्याबमा अपकरणहरू होसियारपूर्वकस्क चलाउनुहोस्
1 /college/20260220 152724.wav,हजुरको हाजिरी प्रतिशत पुगेको छैन
1 /college/20260220 152741.wav,ओरिएन्टेसन उपस्थ
1 /college/20260220 152803.wav,कलेजको नियम विपरीत काम गरेमा निष्कासन गरिनेछ
1 /college/20260220 152813.wav,पूरक परीक्षाको फारम खोलिसक्यो
1 /college/20260220 152821.wav,स्थानक तहको भर्ना कहिले खोल्छ
1 /college/20260220 152828.wav,कृपया आफ्नो सवारी साधन पार्किङमा राख्नुहोस्
1 /college/20260220 152834.wav,कलेज हाताभित्र होहल्ला नगर्नुहोला
1 /college/20260220 152842.wav,पूर्व विद्यार्थी समाज अलोम्नाइमा चोरिनुहोस्
1 /college/20260220 152850.wav,आज क्याम्पस प्रमुख आउनुभएको छैन
1 /college/20260220 152857.wav,प्रमाणपत्र सक्कल नै ल्याउनु
1 /college/20260220 152919.wav,इन्टर्नसिपको लागि कलेजले सिफारिस पत्र दिन्छ
1 /college/20260220 152927.wav,स्वागत तथा विदाय कार्यक्रमको तयारी हुँदैछ
1 /college/20260220 152936.wav,यो सेमेस्टरमा पाँचवटा विषय पढ्नुपर्छ
1 /college/20260220 152944.wav,सोधपुझ कक्ष इन्फर्मेसन डेस्क दायाँतर्फ छ
1 /college/20260220 152958.wav,हजुरको इमेलमा नोटठाइठादएको छु
1 /college/20260220 153014.wav,प्रेजेन्टेसन दिन अनिवार्य छ
1 /college/20260220 153019.wav,यो फर्म भर विभागमा बुझाउनुहोला
1 /college/20260220 153027.wav,कलेजको फेसबुक पेजमा सूचना हेर्नुहोला
1 /college/20260220 153040.wav,विद्यार्थी कल्याणकारी कोषमा सहयोग गर्नुहोस्
1 /college/20260220 153051.wav,पुस्तकालयमा शान्त रहनुहोला
1 /college/20260220 153058.wav,भर्ना रद्द गर्न निवेदन निवेन
1 /college/20260220 153113.wav,रिजल्ट हेर्न वेबसाइट चेक गर्नुहोस्
1 /college/20260220 153119.wav,साथीभाइसँग मिलेर पढ्नुहोस्
1 /college/20260220 153126.wav,कलेजको प्रतिष्ठा जोगाउन हाम्रो दायित्व हो
